artifact_index,artifact,artifact_id,admission_state,reason,candidate_rows,win_cells,loss_cells,tie_cells,team_points_cells,playoff_cells,receipt_run_id,source_run_id
0,research-mfl-classification-roster-bridge-shard-0-31663728938,9167300626,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,936,936,936,936,936,936,31682677203,31663728938
1,research-mfl-classification-roster-bridge-shard-100-31663728938,9168115801,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,332,332,332,332,332,332,31682677203,31663728938
2,research-mfl-classification-roster-bridge-shard-101-31663728938,9168118558,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,708,708,708,708,708,708,31682677203,31663728938
3,research-mfl-classification-roster-bridge-shard-102-31663728938,9168118889,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,263,263,263,263,263,263,31682677203,31663728938
4,research-mfl-classification-roster-bridge-shard-103-31663728938,9168145517,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,875,875,875,875,875,875,31682677203,31663728938
5,research-mfl-classification-roster-bridge-shard-104-31663728938,9168123166,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1055,1055,1055,1055,1055,1055,31682677203,31663728938
6,research-mfl-classification-roster-bridge-shard-105-31663728938,9168146371,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1211,1211,1211,1211,1211,1211,31682677203,31663728938
7,research-mfl-classification-roster-bridge-shard-106-31663728938,9168159687,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1285,1285,1285,1285,1285,1285,31682677203,31663728938
8,research-mfl-classification-roster-bridge-shard-107-31663728938,9168166053,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1399,1399,1399,1399,1399,1399,31682677203,31663728938
9,research-mfl-classification-roster-bridge-shard-108-31663728938,9168195836,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1582,1582,1582,1582,1582,1582,31682677203,31663728938
10,research-mfl-classification-roster-bridge-shard-109-31663728938,9168176942,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1350,1350,1350,1350,1350,1350,31682677203,31663728938
11,research-mfl-classification-roster-bridge-shard-110-31663728938,9168205256,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1457,1457,1457,1457,1457,1457,31682677203,31663728938
,research-mfl-classification-roster-bridge-shard-111-31663728938,9168207548,source_diagnostic_only,archive lacks team_signals.parquet and player_bridge.parquet,0,0,0,0,0,0,31682677203,31663728938
12,research-mfl-classification-roster-bridge-shard-112-31663728938,9168225165,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,173,173,173,173,173,173,31682677203,31663728938
13,research-mfl-classification-roster-bridge-shard-113-31663728938,9168252180,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1024,1024,1024,1024,1024,1024,31682677203,31663728938
14,research-mfl-classification-roster-bridge-shard-114-31663728938,9168254712,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,491,491,491,491,491,491,31682677203,31663728938
15,research-mfl-classification-roster-bridge-shard-115-31663728938,9168256730,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,632,632,632,632,632,632,31682677203,31663728938
16,research-mfl-classification-roster-bridge-shard-116-31663728938,9168283217,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,840,840,840,840,840,840,31682677203,31663728938
17,research-mfl-classification-roster-bridge-shard-117-31663728938,9168280432,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1315,1315,1315,1315,1315,1315,31682677203,31663728938
18,research-mfl-classification-roster-bridge-shard-118-31663728938,9168307135,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1383,1383,1383,1383,1383,1383,31682677203,31663728938
19,research-mfl-classification-roster-bridge-shard-119-31663728938,9168315481,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,3369,3334,3334,3369,3334,3369,31682677203,31663728938
20,research-mfl-classification-roster-bridge-shard-120-31663728938,9168320246,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1482,1482,1482,1482,1482,1482,31682677203,31663728938
21,research-mfl-classification-roster-bridge-shard-121-31663728938,9168351696,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,637,637,637,637,637,637,31682677203,31663728938
22,research-mfl-classification-roster-bridge-shard-122-31663728938,9168333329,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1122,1122,1122,1122,1122,1122,31682677203,31663728938
23,research-mfl-classification-roster-bridge-shard-123-31663728938,9168365882,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,778,778,778,778,778,778,31682677203,31663728938
24,research-mfl-classification-roster-bridge-shard-124-31663728938,9168400461,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,508,508,508,508,508,508,31682677203,31663728938
25,research-mfl-classification-roster-bridge-shard-125-31663728938,9168398509,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,2724,2724,2724,2724,2724,2724,31682677203,31663728938
26,research-mfl-classification-roster-bridge-shard-126-31663728938,9168403027,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1659,1659,1659,1659,1659,1659,31682677203,31663728938
27,research-mfl-classification-roster-bridge-shard-127-31663728938,9168416501,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,350,350,350,350,350,350,31682677203,31663728938
28,research-mfl-classification-roster-bridge-shard-128-31663728938,9168447269,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,2042,2042,2042,2042,2042,2042,31682677203,31663728938
29,research-mfl-classification-roster-bridge-shard-129-31663728938,9168455714,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1810,1810,1810,1810,1810,1810,31682677203,31663728938
30,research-mfl-classification-roster-bridge-shard-130-31663728938,9168460382,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1149,1149,1149,1149,1149,1149,31682677203,31663728938
31,research-mfl-classification-roster-bridge-shard-131-31663728938,9168476213,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,959,959,959,959,959,959,31682677203,31663728938
32,research-mfl-classification-roster-bridge-shard-132-31663728938,9168505535,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,641,641,641,641,641,641,31682677203,31663728938
33,research-mfl-classification-roster-bridge-shard-133-31663728938,9168522039,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1509,1509,1509,1509,1509,1509,31682677203,31663728938
34,research-mfl-classification-roster-bridge-shard-134-31663728938,9168553078,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1689,1689,1689,1689,1689,1689,31682677203,31663728938
35,research-mfl-classification-roster-bridge-shard-135-31663728938,9168524800,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1316,1316,1316,1316,1316,1316,31682677203,31663728938
36,research-mfl-classification-roster-bridge-shard-136-31663728938,9168519893,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,3164,3164,3164,3164,3164,3164,31682677203,31663728938
37,research-mfl-classification-roster-bridge-shard-137-31663728938,9168526155,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,364,364,364,364,364,364,31682677203,31663728938
38,research-mfl-classification-roster-bridge-shard-138-31663728938,9168579209,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1478,1478,1478,1478,1478,1478,31682677203,31663728938
,research-mfl-classification-roster-bridge-shard-139-31663728938,9168553934,source_diagnostic_only,archive lacks team_signals.parquet and player_bridge.parquet,0,0,0,0,0,0,31682677203,31663728938
39,research-mfl-classification-roster-bridge-shard-140-31663728938,9168579930,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1598,1598,1598,1598,1598,1598,31682677203,31663728938
40,research-mfl-classification-roster-bridge-shard-141-31663728938,9168581229,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,949,949,949,949,949,949,31682677203,31663728938
41,research-mfl-classification-roster-bridge-shard-142-31663728938,9168613102,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1004,1004,1004,1004,1004,1004,31682677203,31663728938
42,research-mfl-classification-roster-bridge-shard-143-31663728938,9168649646,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,913,913,913,913,913,913,31682677203,31663728938
43,research-mfl-classification-roster-bridge-shard-144-31663728938,9168639125,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1119,1119,1119,1119,1119,1119,31682677203,31663728938
44,research-mfl-classification-roster-bridge-shard-145-31663728938,9168637109,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1965,1965,1965,1965,1965,1965,31682677203,31663728938
45,research-mfl-classification-roster-bridge-shard-146-31663728938,9168661859,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,783,783,783,783,783,783,31682677203,31663728938
46,research-mfl-classification-roster-bridge-shard-147-31663728938,9168667882,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,1199,1199,1199,1199,1199,1199,31682677203,31663728938
47,research-mfl-classification-roster-bridge-shard-148-31663728938,9168706526,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,730,730,730,730,730,730,31682677203,31663728938
48,research-mfl-classification-roster-bridge-shard-149-31663728938,9168704065,included_in_verified_cache_batch,source-backed candidate rows merged into receipt 31682677203,928,928,928,928,928,928,31682677203,31663728938
